user_input,intent,,
nobody cares,crisis_intent,,
hurt myself,crisis_intent,,
How are you?,small_talk,,
What's up?,small_talk,,
How’s your day?,small_talk,,
Do you like movies?,small_talk,,
Do you watch movies too?,small_talk,,
How old are you?,small_talk,,
Are you busy?,small_talk,,
Can we talk?,small_talk,,
What's your favorite movie?,small_talk,,
What’s trending now?,small_talk,,
Do you sleep?,small_talk,,
Where do you live?,small_talk,,
Show me Telugu movies,search_by_language,,
Suggest some Tamil films,search_by_language,,
Give me Kannada movie recommendations,search_by_language,,
Recommend good Malayalam films,search_by_language,,
I want to watch a Kannada movie,search_by_language,,
Do you know any good Tamil movies?,search_by_language,,
Any Telugu action films?,search_by_language,,
can you give me any Marathi movies,search_by_language,,
Do you have any Malayalam film suggestions?,search_by_language,,
Suggest top Telugu films,search_by_language,,
Telugu movies please,search_by_language,,
Suggest some Telugu movies,search_by_language,,
Can you recommend Telugu films?,search_by_language,,
Any recent Telugu releases?,search_by_language,,
"I like Telugu cinema, any suggestions?",search_by_language,,
Top Telugu films of this year?,search_by_language,,
List popular Tamil movies,search_by_language,,
Tamil movies to watch?,search_by_language,,
Any good Tamil films?,search_by_language,,
Malayalam movie suggestions?,search_by_language,,
Top Malayalam thrillers?,search_by_language,,
Best Malayalam films to watch this weekend,search_by_language,,
I want Malayalam movie recommendations,search_by_language,,
Recommend me some Kannada movies,search_by_language,,
Any famous Kannada films?,search_by_language,,
Top-rated Kannada movies,search_by_language,,
List a few Kannada movies please,search_by_language,,
Which are the best Kannada films?,search_by_language,,
Show me movies in Telugu,search_by_language,,
Do you have any Kannada film suggestions?,search_by_language,,
Do you have any Malayalam film suggestions?,search_by_language,,
Give me some Tamil language movies,search_by_language,,
Which Kannada films are trending?,search_by_language,,
can you give me Telugu movies?,search_by_language,,
Movies in Tamil or Telugu?,search_by_language,,
Show Malayalam movies from 2020,search_by_language_year,,
Show me Tamil movies from 2024,search_by_language_year,,
Any Telugu movies released in 2023?,search_by_language_year,,
List Kannada movies from 2022,search_by_language_year,,
Do you have Hindi films from 2021?,search_by_language_year,,
Give me Malayalam movies from 2020,search_by_language_year,,
Show all Tamil films released in 2019,search_by_language_year,,
Can I get Telugu movies from 2022?,search_by_language_year,,
Movies in Kannada released in 2023,search_by_language_year,,
Hindi movies from the year 2020,search_by_language_year,,
Suggest Malayalam films from 2024,search_by_language_year,,
Find Tamil language movies from 2021,search_by_language_year,,
What Telugu movies came out in 2020?,search_by_language_year,,
Show Malayalam 2023 movies,search_by_language_year,,
Give Kannada films from 2024,search_by_language_year,,
Do you have Tamil 2022 releases?,search_by_language_year,,
Recommend Hindi movies released in 2023,search_by_language_year,,
I want Malayalam 2021 films,search_by_language_year,,
Any good Tamil movies from 2020?,search_by_language_year,,
Telugu movies released in 2019,search_by_language_year,,
What Malayalam movies came out in 2022?,search_by_language_year,,
Give me Kannada 2020 films,search_by_language_year,,
Hindi 2024 movies,search_by_language_year,,
I want Telugu movies from 2024,search_by_language_year,,
Tamil movies of 2023,search_by_language_year,,
Show me Malayalam films released in 2021,search_by_language_year,,
Latest Kannada movies from 2022,search_by_language_year,,
Hindi language movies from 2023,search_by_language_year,,
Films in Tamil released in 2020,search_by_language_year,,
Telugu movies from year 2021,search_by_language_year,,
Malayalam 2019 movie list,search_by_language_year,,
Give me Kannada 1980 films,search_by_language_year,,
Malayalam 1972 moives,search_by_language_year,,
I want Telugu movies from 1954,search_by_language_year,,
Tamil movies of 1993,search_by_language_year,,
Show me Malayalam films released in 1930,search_by_language_year,,
Latest Kannada movies from 2015,search_by_language_year,,
Marathi language movies from 2008,search_by_language_year,,
Films in Tamil released in 1976,search_by_language_year,,
Telugu movies from year 1997,search_by_language_year,,
Malayalam 1900 movie list,search_by_language_year,,
Telugu 1940 movies,search_by_language_year,,
Show me the latest movies,filter_recent_movies,,
What are the newest movies released?,filter_recent_movies,,
Any recent South Indian movies?,filter_recent_movies,,
Suggest new movie releases,filter_recent_movies,,
Can you list recently released films?,filter_recent_movies,,
I want to watch the latest films,filter_recent_movies,,
What’s new in South Indian cinema?,filter_recent_movies,,
Recommend me recent movies,filter_recent_movies,,
Which movies came out this year?,filter_recent_movies,,
Give me latest movie recommendations,filter_recent_movies,,
What are the new releases?,filter_recent_movies,,
List some current popular movies,filter_recent_movies,,
What movies were released recently?,filter_recent_movies,,
Show the most recent South Indian movies,filter_recent_movies,,
Tell me recent films in theaters,filter_recent_movies,,
New movies please,filter_recent_movies,,
I want to see the most recent films,filter_recent_movies,,
What’s trending in movies now?,filter_recent_movies,,
Recommend top new movies,filter_recent_movies,,
Are there any fresh movie releases?,filter_recent_movies,,
Which movies are new in your list?,filter_recent_movies,,
Let me know the newest films,filter_recent_movies,,
What's hot in cinemas now?,filter_recent_movies,,
Movies released in the last year?,filter_recent_movies,,
Are there any new action movies?,filter_recent_movies,,
Give me some newly released titles,filter_recent_movies,,
List this month’s movie releases,filter_recent_movies,,
What came out in the past few months?,filter_recent_movies,,
Any recent hits or blockbusters?,filter_recent_movies,,
Top new movie picks?,filter_recent_movies,,
What are the most recent releases I can watch?,filter_recent_movies,,
Recently launched films in any language?,filter_recent_movies,,
New films from the past few weeks?,filter_recent_movies,,
Show me latest Tamil movies,filter_recent_by_language,,
Recommend new Hindi films,filter_recent_by_language,,
Any new Malayalam movies?,filter_recent_by_language,,
List recent Telugu releases,filter_recent_by_language,,
Show Kannada movies released recently,filter_recent_by_language,,
New Tamil movie recommendations?,filter_recent_by_language,,
Any fresh Hindi movie suggestions?,filter_recent_by_language,,
Suggest latest Malayalam releases,filter_recent_by_language,,
New Telugu movies this year?,filter_recent_by_language,,
Recommend new Kannada films,filter_recent_by_language,,
I want to see the latest Tamil films,filter_recent_by_language,,
Latest Hindi blockbusters?,filter_recent_by_language,,
Got new Malayalam movies?,filter_recent_by_language,,
Recently released Telugu films,filter_recent_by_language,,
Any recent Kannada hits?,filter_recent_by_language,,
What are the recent Tamil movies?,filter_recent_by_language,,
New Malayalam titles to watch?,filter_recent_by_language,,
Tell me latest Telugu cinema,filter_recent_by_language,,
Latest Kannada film list,filter_recent_by_language,,
What are the fresh Hindi releases?,filter_recent_by_language,,
Newly launched Malayalam movies?,filter_recent_by_language,,
Give me new Telugu movie names,filter_recent_by_language,,
Just released Kannada films?,filter_recent_by_language,,
Newest Tamil films please,filter_recent_by_language,,
Hindi movies released this year,filter_recent_by_language,,
Recent Malayalam cinema?,filter_recent_by_language,,
What's new in Telugu movies?,filter_recent_by_language,,
Show newly released Kannada movies,filter_recent_by_language,,
Any new Tamil films worth watching?,filter_recent_by_language,,
Tell me new Hindi movies to watch,filter_recent_by_language,,
Just released Telugu flicks?,filter_recent_by_language,,
List current Kannada movies,filter_recent_by_language,,
Any new Tamil cinema released?,filter_recent_by_language,,
Recently launched Hindi films,filter_recent_by_language,,
What Telugu movies are trending now?,filter_recent_by_language,,
Kannada movies that are newly released?,filter_recent_by_language,,
Which are the latest Telugu films?,filter_recent_by_language,,
Suggest some new Tamil movies,filter_recent_by_language,,
Any fresh Malayalam movie suggestions?,filter_recent_by_language,,
What Kannada films released recently?,filter_recent_by_language,,
Show me movies of Allu Arjun,search_by_actor,,
What are the latest films with Vijay?,search_by_actor,,
List movies starring Nithiin,search_by_actor,,
list movies starring Samantha,search_by_actor,,
List movies starring Mahesh Babu,search_by_actor,-,
Can you recommend films with Suriya?,search_by_actor,-,
I want to watch something with Ram Charan,search_by_actor,,
suggest some ntr films,search_by_actor,,
Give me Nani movies,search_by_actor,,
Show recent films of Dhanush,search_by_actor,,
Any movies with Jr. NTR?,search_by_actor,-,
Which movies feature Yash (KGF actor)?,search_by_actor,,
Get me some Karthi movies,search_by_actor,,
What are the top movies with Prabhas?,search_by_actor,,
Show me films where Fahadh Faasil acted,search_by_actor,,
Movies featuring Mammootty,search_by_actor,,
Get movies with Mohanlal,search_by_actor,,
Find me movies starring Sudeep,search_by_actor,,
What are some movies with Sivakarthikeyan?,search_by_actor,,
Show films with Vishal,search_by_actor,,
Recommend some movies of Ajith Kumar,search_by_actor,,
I want to watch Rajinikanth movies,search_by_actor,,
Which films feature Balakrishna?,search_by_actor,,
Give me some movies with Chiranjeevi,search_by_actor,,
Movies where Arya acted,search_by_actor,,
Tell me Naga Chaitanya films,search_by_actor,,
Show me films featuring Sai Dharam Tej,search_by_actor,,
Find films with Nivin Pauly,search_by_actor,,
What movies are there with Rana Daggubati?,search_by_actor,,
Can you show me more of his movies?,search_by_actor,,
Show me more from him,search_by_actor,,
Give me other movies of hers,search_by_actor,,
Show me movies directed by Lokesh Kanagaraj,search_by_director,,
What movies did Trivikram Srinivas directed?,search_by_director,,
List all films directed by S. S. Rajamouli,search_by_director,,
Any good movies made by Mani Ratnam?,search_by_director,,
Can you recommend movies directed Gautham Menon?,search_by_director,,
Give me some films directed by Shankar,search_by_director,,
I want movies made by Sukumar,search_by_director,,
What are the top movies directed by Atlee?,search_by_director,,
Show Telugu movies of Puri Jagannadh Direction,search_by_director,,
Tamil movies made by Vetrimaaran,search_by_director,,
Find me some Dhanush-directed movies,search_by_director,,
Give me movies made by Pa. Ranjith,search_by_director,,
Which movies are directed by Anjali Menon?,search_by_director,,
Show the best movies from Hanu Raghavapudi,search_by_director,,
Malayalam movies directed by Jeethu Joseph,search_by_director,,
List movies from Nelson Dilipkumar,search_by_director,,
What films are directed by Karthik Subbaraj?,search_by_director,,
Recommend me some movies directed by Prashanth Neel,search_by_director,,
Find Kannada movies made by Rishab Shetty,search_by_director,,
Can I get some films directed by Lingusamy?,search_by_director,,
Give movies made by Nandini Reddy,search_by_director,,
Which movies has Nandhini JS directed?,search_by_director,,
Movies made by Balaji Mohan,search_by_director,,
Get me movies directed by Selvaraghavan,search_by_director,,
Show me blockbusters from Siva direction,search_by_director,,
I want films directed by Mohan Raja,search_by_director,,
List of movies directed by N. Lingusamy,search_by_director,,
Any recent films by Suni (Kannada director)?,search_by_director,,
Find all movies made by Maruthi Dasari,search_by_director,,
What are the popular movies directed by Karthik Thangavel?,search_by_director,,
Show me movies from the 1980s,search_by_decade,,
Suggest 90s Telugu films,search_by_decade,,
Any Tamil movies from the 70s?,search_by_decade,,
Give me Kannada movies from the 2000s,search_by_decade,,
I want Malayalam movies from the 60s,search_by_decade,,
Show 2010s decade movies,search_by_decade,,
Recommend me Telugu movies from 1950s,search_by_decade,,
List Tamil films from the 1990s,search_by_decade,,
Popular Kannada movies in 1980s,search_by_decade,,
Best Malayalam films from 1970s,search_by_decade,,
Top 60s Telugu movies,search_by_decade,,
Can you suggest Tamil movies from 2010s?,search_by_decade,,
I’m looking for 90s Kannada movies,search_by_decade,,
Show me 2000s Malayalam cinema,search_by_decade,,
Any 80s movies in Tamil?,search_by_decade,,
List out old Kannada films from 1950s,search_by_decade,,
Give me some 2010s Telugu hits,search_by_decade,,
Malayalam movies from the early 90s,search_by_decade,,
Recommend Tamil 2000s movies,search_by_decade,,
Best of Telugu cinema from 1970s,search_by_decade,,
Top Kannada films from 60s and 70s,search_by_decade,,
1990s Malayalam movie list please,search_by_decade,,
Tell me about Tamil 80s blockbusters,search_by_decade,,
What are the Telugu movies from the 60s?,search_by_decade,,
Kannada movie suggestions from 2010s,search_by_decade,,
Any good Malayalam films from the 1980s?,search_by_decade,,
Movies made in 70s era,search_by_decade,,
Old Tamil movies from 1950s and 60s,search_by_decade,,
Want some 2000s decade movies,search_by_decade,,
Telugu cinema from the 1990s,search_by_decade,,
Recommend movies like Baahubali,recommend_similar,,
Give me similar films to Vikram,recommend_similar,,
What are the movies like Kantara?,recommend_similar,,
"I enjoyed Pushpa, what should I watch next?",recommend_similar,,
Can you suggest something like RRR?,recommend_similar,,
I want to see a movie like KGF,recommend_similar,,
Any alternatives to Eega?,recommend_similar,,
More movies like Mahanati?,recommend_similar,,
"I loved Drishyam, anything similar?",recommend_similar,,
Suggest films related to Ponniyin Selvan,recommend_similar,,
"If I liked Premam, what else should I try?",recommend_similar,,
What’s similar to Jailer?,recommend_similar,,
Movies comparable to Asuran?,recommend_similar,,
I want recommendations like Lucia,recommend_similar,,
Find me something like 96,recommend_similar,,
"I liked Thani Oruvan, give me similar ones",recommend_similar,,
Recommend films similar to Ala Vaikunthapurramuloo,recommend_similar,,
Anything like Vikram Vedha?,recommend_similar,,
I want something like Sita Ramam,recommend_similar,,
Suggest some titles like Anniyan,recommend_similar,,
What are the best movies like Nayakan?,recommend_similar,,
Find more like Chithram,recommend_similar,,
Any movies like Dasara?,recommend_similar,,
I want to watch films like Sarpatta Parambarai,recommend_similar,,
Recommend me something similar to Super Deluxe,recommend_similar,,
"If I liked Maara, what else would I like?",recommend_similar,,
Suggest a movie like Karnan,recommend_similar,,
More films in the style of Arjun Reddy,recommend_similar,,
What’s another movie like Thuppakki?,recommend_similar,,
Similar recommendations to Evaru,recommend_similar,,
Find Malayalam movies with Dulquer Salmaan,search_by_actor_language,,
Tamil films starring Vijay Sethupathi,search_by_actor_language,,
I want Telugu movies of Ravi Teja,search_by_actor_language,,
List Kannada movies of Puneeth Rajkumar,search_by_actor_language,,
Show me Tamil movies starring Dhanush,search_by_actor_language,,
I want to watch a Telugu movie with Allu Arjun,search_by_actor_language,,
Recommend Hindi films with Shah Rukh Khan,search_by_actor_language,,
Suggest Malayalam movies featuring Fahadh Faasil,search_by_actor_language,,
Any Kannada films with Yash?,search_by_actor_language,,
Give me some Tamil films acted by Vijay,search_by_actor_language,,
Which Telugu movies have Mahesh Babu?,search_by_actor_language,,
Find Hindi movies with Amitabh Bachchan,search_by_actor_language,,
List Malayalam movies with Nivin Pauly,search_by_actor_language,,
Recommend Kannada movies starring Rishab Shetty,search_by_actor_language,,
I want to watch Allu Arjun movies in Telugu,search_by_actor_language,,
Are there any Tamil movies with Suriya?,search_by_actor_language,,
Show Hindi films acted by Ranbir Kapoor,search_by_actor_language,,
Recommend Telugu films with Jr NTR,search_by_actor_language,,
Malayalam movies starring Dulquer Salmaan please,search_by_actor_language,,
Can you show Kannada movies with Upendra?,search_by_actor_language,,
Suggest Tamil movies with Ajith Kumar,search_by_actor_language,,
Telugu films featuring Pawan Kalyan,search_by_actor_language,,
Give me Hindi films acted by Salman Khan,search_by_actor_language,,
Any Malayalam films with Mammootty?,search_by_actor_language,,
I want movies in Kannada with Puneeth Rajkumar,search_by_actor_language,,
Show me Tamil films with Vikram,search_by_actor_language,,
Are there Hindi movies featuring Akshay Kumar?,search_by_actor_language,,
Find Telugu movies with Ram Charan,search_by_actor_language,,
Recommend Malayalam movies acted by Prithviraj,search_by_actor_language,,
Show Kannada films with Darshan,search_by_actor_language,,
Suggest Hindi movies starring Aamir Khan,search_by_actor_language,,
Any Tamil movies with Sivakarthikeyan?,search_by_actor_language,,
Recommend Telugu films with Nani,search_by_actor_language,,
Which Malayalam movies have Mohanlal?,search_by_actor_language,,
Find Kannada movies acted by Rakshit Shetty,search_by_actor_language,,
Hindi movies starring Hrithik Roshan,search_by_actor_language,,
List Tamil movies with Karthi,search_by_actor_language,,
Recommend Telugu movies starring Vijay Deverakonda,search_by_actor_language,,
I want to watch Hindi movies with Nawazuddin Siddiqui,search_by_actor_language,,
Malayalam films acted by Tovino Thomas,search_by_actor_language,,
Show Kannada movies featuring Rajkumar,search_by_actor_language,,
Tamil movies with STR (Simbu),search_by_actor_language,,
List Telugu films with Ravi Teja,search_by_actor_language,,
Recommend Malayalam films with Indrans,search_by_actor_language,,
Show me Tamil movies directed by Mani Ratnam,search_by_director_language,,
I want to watch Telugu films by S. S. Rajamouli,search_by_director_language,,
Recommend Hindi movies from Rajkumar Hirani,search_by_director_language,,
Any Malayalam movies directed by Jeethu Joseph?,search_by_director_language,,
Find Kannada films by Prashanth Neel,search_by_director_language,,
Suggest Tamil films made by Lokesh Kanagaraj,search_by_director_language,,
Which Telugu movies are directed by Trivikram Srinivas?,search_by_director_language,,
Show Hindi films by Anurag Kashyap,search_by_director_language,,
Malayalam movies by Lijo Jose Pellissery,search_by_director_language,,
Recommend Kannada films from Rishab Shetty,search_by_director_language,,
I want to watch movies in Telugu directed by Sukumar,search_by_director_language,,
Any Tamil movies directed by Shankar?,search_by_director_language,,
Find Hindi movies directed by Imtiaz Ali,search_by_director_language,,
Show Malayalam films by Sathyan Anthikad,search_by_director_language,,
Kannada movies by Yogaraj Bhat,search_by_director_language,,
Suggest Tamil movies by Karthik Subbaraj,search_by_director_language,,
Telugu films directed by Puri Jagannadh,search_by_director_language,,
Give me Hindi films by Zoya Akhtar,search_by_director_language,,
Any Malayalam films made by Blessy?,search_by_director_language,,
I want Kannada movies directed by Duniya Suri,search_by_director_language,,
Show me Tamil films by Gautham Menon,search_by_director_language,,
Recommend Hindi movies from Kabir Khan,search_by_director_language,,
List Telugu movies directed by Krish,search_by_director_language,,
Malayalam movies by Aashiq Abu please,search_by_director_language,,
Any Kannada films by Suri?,search_by_director_language,,
I want to watch movies in Tamil by Vetrimaaran,search_by_director_language,,
Hindi films directed by Sanjay Leela Bhansali,search_by_director_language,,
Suggest Telugu films by Sekhar Kammula,search_by_director_language,,
Malayalam movies made by Ranjith,search_by_director_language,,
Kannada films from Nagathihalli Chandrashekar,search_by_director_language,,
Find Tamil movies by Bala,search_by_director_language,,
Hindi movies by Nitesh Tiwari,search_by_director_language,,
Show Telugu films by Boyapati Srinu,search_by_director_language,,
Recommend Malayalam films from Kamal,search_by_director_language,,
Kannada movies directed by Ravichandran,search_by_director_language,,
Tamil films made by Mysskin,search_by_director_language,,
Any Hindi films from Shoojit Sircar?,search_by_director_language,,
Malayalam movies by Sibi Malayil,search_by_director_language,,
Show Kannada films directed by Pawan Kumar,search_by_director_language,,
Recommend Telugu movies by Maruthi,search_by_director_language,,
Show me movies of Vijay from 2022,search_by_actor_year,,
I want Allu Arjun films released in 2021,search_by_actor_year,,
What are the 2019 movies of Nani?,search_by_actor_year,,
List Mahesh Babu's movies from 2017,search_by_actor_year,,
Ram Charan movies released in 2018,search_by_actor_year,,
Give me Dhanush films from 2020,search_by_actor_year,,
Which movies did Jr NTR act in 2016?,search_by_actor_year,,
Tamil films of Suriya released in 2021,search_by_actor_year,,
Show Bollywood movies of Shah Rukh Khan from 2013,search_by_actor_year,,
What are the 2015 movies of Prabhas?,search_by_actor_year,,
Telugu movies of Ravi Teja in 2019,search_by_actor_year,,
List Samantha movies from 2022,search_by_actor_year,,
Show me films of Rajinikanth released in 2023,search_by_actor_year,,
Hindi movies of Salman Khan from 2011,search_by_actor_year,,
What movies did Pawan Kalyan act in 2012?,search_by_actor_year,,
Show me 2018 films of Nithiin,search_by_actor_year,,
2010 movies of Nagarjuna,search_by_actor_year,,
All movies of Kamal Haasan from 2022,search_by_actor_year,,
I want Kannada movies of Puneeth Rajkumar from 2019,search_by_actor_year,,
Give me movies of Yash released in 2016,search_by_actor_year,,
What are the 2021 movies of Nivin Pauly?,search_by_actor_year,,
Any movies of Fahadh Faasil in 2017?,search_by_actor_year,,
Show all films by Ajith from 2020,search_by_actor_year,,
List 2023 movies by Karthi,search_by_actor_year,,
I want movies of Mohanlal released in 2014,search_by_actor_year,,
Find 2022 movies of Ram Pothineni,search_by_actor_year,,
2019 movies acted by Rana Daggubati,search_by_actor_year,,
Tell me about Daggubati Venkatesh movies from 2015,search_by_actor_year,,
Which 2021 movies had Keerthy Suresh?,search_by_actor_year,,
Show me movies of Vijay Deverakonda from 2019,search_by_actor_year,,
What are the 2020 movies of Nayanthara?,search_by_actor_year,,
I want all Hindi movies of Akshay Kumar from 2018,search_by_actor_year,,
List films of Hrithik Roshan in 2019,search_by_actor_year,,
Give me 2016 movies of Emraan Hashmi,search_by_actor_year,,
What movies did Aishwarya Rai act in 2008?,search_by_actor_year,,
Show me 2015 films of Trisha Krishnan,search_by_actor_year,,
What are the 2022 movies of Shraddha Kapoor?,search_by_actor_year,,
Show movies of Tamannaah from 2020,search_by_actor_year,,
Give me 2017 movies acted by Kriti Sanon,search_by_actor_year,,
I want to see all 2021 movies of Rashmika Mandanna,search_by_actor_year,,
Show 2016 films of Anushka Shetty,search_by_actor_year,,
What are the 2013 movies of Kajal Aggarwal?,search_by_actor_year,,
Tell me about movies of Parineeti Chopra released in 2014,search_by_actor_year,,
List all movies by Ileana D'Cruz from 2011,search_by_actor_year,,
What are the 2020 movies of Taapsee Pannu?,search_by_actor_year,,
Show me 2022 Bollywood films of Ayushmann Khurrana,search_by_actor_year,,
Find Malayalam movies by Dulquer Salmaan in 2018,search_by_actor_year,,
Tell me about films of R. Madhavan from 2016,search_by_actor_year,,
What movies did Sai Pallavi act in 2023?,search_by_actor_year,,
List 2019 films of Genelia D'Souza,search_by_actor_year,,
Show me movies with Vijay and Atlee,search_by_actor_director,,
Which films did Mahesh Babu and Trivikram do together?,search_by_actor_director,,
I want movies where Suriya acted under Gautham Menon,search_by_actor_director,,
Give me films of Allu Arjun directed by Sukumar,search_by_actor_director,,
What are the movies of Nani and Vivek Athreya?,search_by_actor_director,,
Show Ram Charan and S. S. Rajamouli collaborations,search_by_actor_director,,
List movies where Dhanush and Vetrimaaran worked together,search_by_actor_director,,
Films with Jr NTR and Koratala Siva,search_by_actor_director,,
Any movies by Prabhas and Prashanth Neel?,search_by_actor_director,,
Tell me about Shah Rukh Khan movies directed by Karan Johar,search_by_actor_director,,
Show all movies of Pawan Kalyan and Trivikram,search_by_actor_director,,
What are the collaborations between Ravi Teja and Harish Shankar?,search_by_actor_director,,
List movies of Samantha directed by Nandini Reddy,search_by_actor_director,,
Suriya movies under Bala direction,search_by_actor_director,,
Films where Rajinikanth acted in Shankar's direction,search_by_actor_director,,
Kamal Haasan and Mani Ratnam movies,search_by_actor_director,,
Show Ajith movies directed by H. Vinoth,search_by_actor_director,,
I want movies with Nithiin and Krishna Chaitanya,search_by_actor_director,,
Which movies did Ram Pothineni and Puri Jagannadh do together?,search_by_actor_director,,
Any hits from Nagarjuna and Raghavendra Rao?,search_by_actor_director,,
Find Yash movies directed by Prashanth Neel,search_by_actor_director,,
Allu Arjun under Boyapati Srinu direction,search_by_actor_director,,
Show me movies of Keerthy Suresh directed by Nagesh Kukunoor,search_by_actor_director,,
Nayanthara movies directed by Vignesh Shivan,search_by_actor_director,,
Anushka Shetty and Gautham Menon collaborations,search_by_actor_director,,
Which movies had Trisha and Dharani working together?,search_by_actor_director,,
Show Tamannaah movies under Siva direction,search_by_actor_director,,
Tell me movies where Hrithik Roshan worked with Zoya Akhtar,search_by_actor_director,,
